author,text,likes,published_at,cleaned,length,emojis,polarity,subjectivity,sentiment,hour,day_of_week,month
@PUBGMOBILEEsports,"Tell us your most memorable moment from PMWL!!<a href=""UCkszU2WH9gy1mb0dV-11UJg/hf90Xv-jHeOR8gSxxrToBA""></a>",2404,2021-11-27 11:31:13,Tell us your most memorable moment from PMWLa hrefUCkszU2WH9gy1mb0dV11UJghf90XvjHeOR8gSxxrToBAa,108,[],0.5,0.75,Positive,11,5,11
@lostwanderer2810,The impact Jonathan has made at world stage despite not playing any International tournament for last 15 months is unmatchable. Really proud moment for india. Pride of India JONATHAN ♥️♥️.,3049,2021-11-27 11:35:17,The impact Jonathan has made at world stage despite not playing any International tournament for last 15 months is unmatchable Really proud moment for india Pride of India JONATHAN,188,"['♥', '♥']",0.26666666666666666,0.35555555555555557,Positive,11,5,11
@MickuisLive,2024 still getting goosebumps,899,2024-01-19 13:23:26,2024 still getting goosebumps,29,[],0.0,0.0,Neutral,13,4,1
@Elite-ye9wp,Without a doubt one of the greatest PUBGM players of all time.,808,2021-11-27 11:55:02,Without a doubt one of the greatest PUBGM players of all time,62,[],1.0,1.0,Positive,11,5,11
@nadimhasan8019,Soul ho ya godl.. This player deserves Every freaking respect man. Game pasand karte ho to usse better koi nahi ha apna circuit me.,73,2022-08-18 20:14:32,Soul ho ya godl This player deserves Every freaking respect man Game pasand karte ho to usse better koi nahi ha apna circuit me,131,[],0.04999999999999999,0.45,Neutral,20,3,8
@Real_DeaL7,Meanwhile goblin - we are at same level 😂😂😂,3089,2022-08-16 03:10:55,Meanwhile goblin we are at same level,43,"['😂', '😂', '😂']",0.0,0.125,Neutral,3,1,8
@jharkhandkahabibi5651,This kid is the only player from India who has been fragger in all the international Tournaments he has played 💀🐐,918,2021-11-27 11:25:58,This kid is the only player from India who has been fragger in all the international Tournaments he has played,113,"['💀', '🐐']",0.0,0.5,Neutral,11,5,11
@vilangaming2906,Almost 1nd half year Jonathan and his teammates not playing any international tournaments but the impact of thier performance still here 🤣 That&#39;s why this lineup is my most fav in india,685,2021-11-27 12:05:12,Almost 1nd half year Jonathan and his teammates not playing any international tournaments but the impact of thier performance still here That why this lineup is my most fav in india,189,['🤣'],0.11111111111111112,0.2222222222222222,Positive,12,5,11
@isheshbabu,We can say proudly india have jonathan ❤,146,2021-11-27 11:06:31,We can say proudly india have jonathan,40,['❤'],0.8,1.0,Positive,11,5,11
@duoheartgaming3805,Kids: Plays Solo vs squad in crown/ace lobby.<br>Men: Plays Solo vs squad in conqueror lobby.<br>Legends: Plays solo vs squad in PMWL.,96,2021-12-26 14:01:48,Kids Plays Solo vs squad in crownace lobbybrMen Plays Solo vs squad in conqueror lobbybrLegends Plays solo vs squad in PMWL,134,[],0.0,0.0,Neutral,14,6,12
@cendrenaratheesh2195,Not playing any international tourney but still making India proud with his history . Jonny is lobbbb❤️❤️❤️,894,2021-11-27 11:12:28,Not playing any international tourney but still making India proud with his history Jonny is lobbbb,107,"['❤', '❤', '❤']",0.4,0.5,Positive,11,5,11
@Villagelifebdagro,Miss u jonny pmgc  love 🇧🇩,110,2021-11-27 10:50:10,Miss u jonny pmgc love,26,[],0.5,0.6,Positive,10,5,11
@ONE1DAAy,Team godl deserve the slot♥️,45,2021-12-06 09:01:27,Team godl deserve the slot,28,['♥'],0.0,0.0,Neutral,9,0,12
@AlpeshChandankhede,Missing him in pmgc😞,198,2021-11-27 10:52:27,Missing him in pmgc,20,['😞'],-0.2,0.05,Negative,10,5,11
@twistenxo,Jonathan 👑<br>G.O.A.T 🐐 for a reason 🔥,147,2021-11-27 11:20:04,Jonathan brGOAT for a reason,38,"['👑', '🐐', '🔥']",0.0,0.0,Neutral,11,5,11
@tanmaysinghOR,"This guy is one of the best players of the game in the world since a long time.. even though I&#39;m a fan of TX, giving Godlike a slot in PMGC will take this competition to another level.. Jonny is on fire rn, he&#39;s the #1 top fragger in 4 of the last 5 tournaments of BGMI..",220,2021-11-27 10:56:12,This guy is one of the best players of the game in the world since a long time even though I a fan of TX giving Godlike a slot in PMGC will take this competition to another level Jonny is on fire rn he the top fragger in 4 of the last 5 tournaments of BGMI,279,[],0.20999999999999996,0.33333333333333337,Positive,10,5,11
@vengeance7411,Only OGs fans remember this match!,866,2021-11-27 11:04:18,Only OGs fans remember this match,34,[],0.0,1.0,Neutral,11,5,11
@avengergaming24,Goblins greatest achievement is getting compared to 🐐,278,2023-10-08 09:18:44,Goblins greatest achievement is getting compared to,53,['🐐'],1.0,1.0,Positive,9,6,10
@VaibhavJain-ej3bt,Missing these moments so badly...we want Godlike in pmgc🔥🔥,809,2021-11-27 11:29:53,Missing these moments so badlywe want Godlike in pmgc,58,"['🔥', '🔥']",-0.2,0.05,Negative,11,5,11
@ankitthakur2790,Indians would definitely be proud after seeing this❤🥵 &quot;Jonathan-The Pride of India&quot;❤❤ We love you Jonny🔥,101,2021-11-27 13:02:20,Indians would definitely be proud after seeing this quotJonathanThe Pride of Indiaquot We love you Jonny,114,"['❤', '🥵', '❤', '❤', '🔥']",0.65,0.8,Positive,13,5,11
@sameersr384,Not a fan of Godl but If Godl gets a slot then hopes they will gonna make a huge impact on the entire world . They know how to dominates .,634,2021-11-27 11:22:11,Not a fan of Godl but If Godl gets a slot then hopes they will gonna make a huge impact on the entire world They know how to dominates,138,[],0.20000000000000004,0.7625,Positive,11,5,11
@hrutik_jagdale,Watching Indian teams in International Tournament  is dream hope its happen 🇮🇳💪🏻,92,2021-11-27 11:00:46,Watching Indian teams in International Tournament is dream hope its happen,80,"['💪', '🏻']",0.0,0.0,Neutral,11,5,11
@orphandaddy6919,Naughty or wot Army here !! 🔥😌❤️<br>Even Caster is Also saying he&#39;s one Man army ❤️😌,38,2021-11-27 10:50:16,Naughty or wot Army here brEven Caster is Also saying he one Man army,88,"['🔥', '😌', '❤', '❤', '😌']",-0.15000000000000002,0.9,Negative,10,5,11
@hindicraft7229,"And people compare with Goblin &amp; Spower😂😂<br><br>The Man, The Myth, The Monster! GxdLJON8THAN16",41,2024-03-03 04:52:51,And people compare with Goblin amp SpowerbrbrThe Man The Myth The Monster GxdLJON8THAN16,99,"['😂', '😂']",0.0,0.0,Neutral,4,6,3
@Eco_bro,2025  jonny still ruling IGC 💀❤️,133,2025-06-04 04:22:33,2025 jonny still ruling IGC,32,"['💀', '❤']",0.0,0.0,Neutral,4,2,6
@redcoder7049,Give team Godlike / Jonathan team a slot In the Pmgc finals whole India 🇮🇳 wants to see this team at PMGC.,463,2021-11-27 11:34:41,Give team Godlike Jonathan team a slot In the Pmgc finals whole India wants to see this team at PMGC,106,[],0.2,0.25,Positive,11,5,11
@raduanalvi4057,We want Jonathan Team in pmgc Love form Bangladesh❤️❤️🇧🇩🇧🇩🇧🇩,31,2021-11-27 11:37:08,We want Jonathan Team in pmgc Love form Bangladesh,60,"['❤', '❤']",0.5,0.6,Positive,11,5,11
@intghastly9962,This is gonna be Epic if he plays pmgc 2021,39,2021-11-27 11:24:40,This is gonna be Epic if he plays pmgc 2021,43,[],0.1,0.4,Neutral,11,5,11
@Arunsingh_141,We want Jonathan’s team in the Pmgc,285,2021-11-27 11:18:10,We want Jonathans team in the Pmgc,35,[],0.0,0.0,Neutral,11,5,11
@Milliesimp,We want his team in pmgc pls ❤ they are dominating in India completely,90,2021-11-27 11:34:35,We want his team in pmgc pls they are dominating in India completely,70,['❤'],0.1,0.4,Neutral,11,5,11
@vaishampayanpurohit461,History says soul fans need to see it while comparing to any of there  players with this legend .!,9,2022-08-16 03:27:39,History says soul fans need to see it while comparing to any of there players with this legend,98,[],0.0,0.0,Neutral,3,1,8
@harsh8660,Best player of india for a Reason ❤️,33,2021-11-27 11:08:20,Best player of india for a Reason,36,['❤'],1.0,0.3,Positive,11,5,11
@pmgsrandomguy5877,"Our Pride<br>Our Power<br>Johnathan , THE G.O.A.T<br>Whole Godl Squad is overpowered for any team in PUBG community",34,2021-11-27 14:07:37,Our PridebrOur PowerbrJohnathan THE GOATbrWhole Godl Squad is overpowered for any team in PUBG community,115,[],0.0,0.0,Neutral,14,5,11
@adgjmpsvy1,"Every region have their too many best players... But from India still there are so many best players but this player is outstanding... He is very consistent in every official, non-official, domestic, international tournament...  I haven&#39;t seen this kind of one man domination in any region 🔥 still some people hates him 😑",68,2021-11-27 12:18:55,Every region have their too many best players But from India still there are so many best players but this player is outstanding He is very consistent in every official nonofficial domestic international tournament I haven seen this kind of one man domination in any region still some people hates him,325,"['🔥', '😑']",0.49166666666666664,0.4222222222222223,Positive,12,5,11
@TANMAYwipesALL,He is the future of indian esports scene,67,2021-11-27 10:49:58,He is the future of indian esports scene,40,[],0.0,0.125,Neutral,10,5,11
@scorpionx6088,Pride of Indian Gaming Community 🔥,34,2021-11-27 11:06:21,Pride of Indian Gaming Community,34,['🔥'],0.0,0.0,Neutral,11,5,11
@amaanmalik1485,We want Jonathan and team in pmgc or Currently it&#39;s org is godlike,270,2021-11-27 11:01:14,We want Jonathan and team in pmgc or Currently it org is godlike,70,[],0.0,0.4,Neutral,11,5,11
@sebinsha7982,I miss Jonathan in pmgc. No problem next pmgc he will be there I guess.,216,2021-11-27 10:55:36,I miss Jonathan in pmgc No problem next pmgc he will be there I guess,71,[],0.0,0.0,Neutral,10,5,11
@tarunog19,After 1 years why this clip has been posted is something suprise 😍😘😘,28,2021-11-27 12:06:58,After 1 years why this clip has been posted is something suprise,68,"['😍', '😘', '😘']",0.0,0.0,Neutral,12,5,11
@SNABBAS23,Is it hint for PMGC invite.. Jonny op 🐐,57,2021-11-27 11:20:15,Is it hint for PMGC invite Jonny op,39,['🐐'],0.0,0.0,Neutral,11,5,11
@sa1faaan,This gives us hopes that we might see GODL in PMGC 😩. Please give them a slot! ❤️,41,2021-11-27 13:53:43,This gives us hopes that we might see GODL in PMGC Please give them a slot,81,"['😩', '❤']",0.0,0.0,Neutral,13,5,11
@zhongxina3822,This is getting recommend to everyone,12,2022-08-15 06:41:03,This is getting recommend to everyone,37,[],0.0,0.0,Neutral,6,0,8
@rijorajan8855,Jonathan.... Jonathan... Jonathan... You are something better than everyone 😁😍,14,2021-11-27 10:55:58,Jonathan Jonathan Jonathan You are something better than everyone,78,"['😁', '😍']",0.5,0.5,Positive,10,5,11
@Viveksharma0912,We want his team in PMGC,44,2021-11-27 11:07:51,We want his team in PMGC,24,[],0.0,0.0,Neutral,11,5,11
@abbascs8012,We want he in PMGC PLEASE 💔,17,2021-11-27 11:10:14,We want he in PMGC PLEASE,27,['💔'],0.0,0.0,Neutral,11,5,11
@vaghelamayursinh3608,The goat 🐐 🙏🏻,10,2022-08-18 12:13:37,The goat,13,"['🐐', '🙏', '🏻']",0.0,0.0,Neutral,12,3,8
@Rajza06,This is called IMPACT of PMGC....globally known who is Jonathan ......Indian fan&#39;s emotional....bcoz indian team not participate in PMGC,10,2021-11-27 11:48:35,This is called IMPACT of PMGCglobally known who is Jonathan Indian fan emotionalbcoz indian team not participate in PMGC,140,[],0.0,0.0,Neutral,11,5,11
@MysteriousThor16,Lockdown uneducated kids dont understand the value of this GOAT moment💔,20,2024-07-01 11:42:19,Lockdown uneducated kids dont understand the value of this GOAT moment,71,['💔'],0.0,0.0,Neutral,11,0,7
@Laiya1234,By showing this clip by pubg mobile there is hope that his team may get invited,104,2021-11-27 11:15:35,By showing this clip by pubg mobile there is hope that his team may get invited,79,[],0.0,0.0,Neutral,11,5,11
@golufunshow7714,HE IS NOT KNOWN BY PUB G .. <br>PUB G IS KNOWN BY JONATHAN 🔥🔥,42,2021-11-27 11:01:30,HE IS NOT KNOWN BY PUB G brPUB G IS KNOWN BY JONATHAN,61,"['🔥', '🔥']",0.0,0.0,Neutral,11,5,11
@frostt1695,People will remeber this legend forever ❤️,100,2021-11-27 10:50:21,People will remeber this legend forever,42,['❤'],0.0,0.0,Neutral,10,5,11
@adityathakkar858,Official handle posting this❤️‍🔥,9,2024-01-25 21:16:31,Official handle posting this,32,"['❤', '🔥']",0.0,0.0,Neutral,21,3,1
@barnavodas2499,Jonathon left pubg mobile but pubg  hasnt  been able to forget jonathan😢❤❤,19,2021-11-27 10:52:24,Jonathon left pubg mobile but pubg hasnt been able to forget jonathan,74,"['😢', '❤', '❤']",0.25,0.3125,Positive,10,5,11
@SiyonHial,History repeat itself <br>On recommendation ❤,12,2025-04-05 13:14:18,History repeat itself brOn recommendation,45,['❤'],0.0,0.0,Neutral,13,5,4
@raj0p907,Godl is needed in PMGC ❤️🥵,20,2021-11-27 11:28:42,Godl is needed in PMGC,26,"['❤', '🥵']",0.0,0.0,Neutral,11,5,11
@blazeeop,Missing OLD. TSMent Era 😢💛,9,2024-01-27 11:41:21,Missing OLD TSMent Era,26,"['😢', '💛']",-0.05,0.125,Neutral,11,5,1
@cursed7194,We want JONATHAN and his team in pmgc please......we can&#39;t wait to see Jonathan domination in pmgc🔥🔥🔥 JONATHAN ❤️❤️❤️,24,2021-11-27 12:24:32,We want JONATHAN and his team in pmgc pleasewe can wait to see Jonathan domination in pmgc JONATHAN,121,"['🔥', '🔥', '🔥', '❤', '❤', '❤']",0.0,0.0,Neutral,12,5,11
@godl_fc4112,Goat moment in international 💛💀🥶,5,2025-06-19 16:26:59,Goat moment in international,32,"['💛', '💀', '🥶']",0.0,0.0,Neutral,16,3,6
@zem_o6,Thank you PUBG MOBILE Esports for inviting India in the PMGC...I was very sad because my country was not there but today news really make me happy. Thank you so much...<br>Lots of love from India ❤️<br>Long live PUBG🎉,8,2021-11-29 13:38:28,Thank you PUBG MOBILE Esports for inviting India in the PMGCI was very sad because my country was not there but today news really make me happy Thank you so muchbrLots of love from India brLong live PUBG,217,"['❤', '🎉']",0.1972727272727273,0.66,Positive,13,0,11
@shubh6725,Even pubg mobile eSports remembers this match. always Jonathan 🔥🔥❤❤❤❤❤,8,2021-11-27 11:44:09,Even pubg mobile eSports remembers this match always Jonathan,70,"['🔥', '🔥', '❤', '❤', '❤', '❤', '❤']",0.0,0.0,Neutral,11,5,11
@viruxftwbgmi,Watching this everytime gives goosebumps 🥺,13,2022-08-17 06:48:17,Watching this everytime gives goosebumps,42,['🥺'],0.0,0.0,Neutral,6,2,8
@akashpatwari7251,Dominating in the international is not everyone cup of tea ☕️,22,2022-08-16 15:03:02,Dominating in the international is not everyone cup of tea,61,['☕'],0.0,0.0,Neutral,15,1,8
@alfaizahmed1,"This is clear indication, which also mean  Godlike heading in PMGC, few hints from Kronton making this clear along with this video, Can&#39;t wait to see the domination from Godlike lots of  love from INDIA ❤️❤️❤️",16,2021-11-27 11:33:32,This is clear indication which also mean Godlike heading in PMGC few hints from Kronton making this clear along with this video Can wait to see the domination from Godlike lots of love from INDIA,213,"['❤', '❤', '❤']",0.03750000000000001,0.43083333333333335,Neutral,11,5,11
@sibot6482,"#2 fragger from only 1kill behaind in PMGC IS NOT EVERYONE’S CUP OF TEA ☕️ <br><br><a href=""http://www.youtube.com/results?search_query=%23proudtobeanjonnyfan"">#proudtobeanjonnyfan</a> 💛❤️❤️",10,2022-08-16 04:22:40,fragger from only 1kill behaind in PMGC IS NOT EVERYONES CUP OF TEA brbra href,190,"['☕', '💛', '❤', '❤']",0.0,1.0,Neutral,4,1,8
@Sylas007-06,😍😍Johny Op Always🔥🔥🔥,17,2021-11-27 10:50:49,Johny Op Always,20,"['😍', '😍', '🔥', '🔥', '🔥']",0.0,0.0,Neutral,10,5,11
@athuljith9144,Sad that one of the best in the world can&#39;t participate in PMGC,13,2021-11-27 11:16:46,Sad that one of the best in the world can participate in PMGC,67,[],0.25,0.65,Positive,11,5,11
@zerxes3635,Jonathan baby. Its time to show what are we made of,4,2021-11-29 13:18:00,Jonathan baby Its time to show what are we made of,51,[],0.0,0.0,Neutral,13,0,11
@bug.me.09,Fun fact it was played in S8ul bootcamp 😅,21,2024-01-24 16:02:54,Fun fact it was played in S8ul bootcamp,41,['😅'],0.3,0.2,Positive,16,2,1
@princepatel.0_0_1_7,Jonny or wot 🔥😎💛💛💛💛💛💛💛💛💛💛💛💛💛💛💛,6,2022-08-19 06:52:44,Jonny or wot,30,"['🔥', '😎', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛']",0.0,0.0,Neutral,6,4,8
@Darshanshete,While some lockdown kid was saying &quot;we are at same level&quot;😅😂,9,2024-09-11 16:27:27,While some lockdown kid was saying quotwe are at same levelquot,69,"['😅', '😂']",0.0,0.125,Neutral,16,2,9
@Thebnannaa,I hope GODL will get the special invited slot of PMGC,162,2021-11-27 11:15:32,I hope GODL will get the special invited slot of PMGC,53,[],0.35714285714285715,0.5714285714285714,Positive,11,5,11
@kankan720.,Jhony  waiting for      global chance   he is  on fire,12,2021-11-27 10:54:33,Jhony waiting for global chance he is on fire,54,[],0.0,0.0,Neutral,10,5,11
@SecretSuperstar-j7k,Meanwhile Ninja - hum tumhare baad aake tumse aage nikal gaye😂😂,13,2024-06-07 12:14:55,Meanwhile Ninja hum tumhare baad aake tumse aage nikal gaye,63,"['😂', '😂']",0.0,0.0,Neutral,12,4,6
@_shifter__72,Lockdown kids ko ye dikhao  🇮🇳👍,9,2022-08-16 03:06:56,Lockdown kids ko ye dikhao,31,['👍'],0.0,0.0,Neutral,3,1,8
